club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,source,source_id,transfer_date,club_source_id,counterpart_source_id
Bayern Munich,Nathaniel Brown,23,Left-Back,Eintracht Frankfurt,€50.00m,in,Summer,50,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6400024,,27,24
Bayern Munich,Ismael Saibari,25,Attacking Midfield,PSV Eindhoven,€50.00m,in,Summer,50,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6393910,,27,383
Bayern Munich,Bara Sapoko Ndiaye,18,Central Midfield,Gambinos Stars,€3.50m,in,Summer,3.5,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6492518,,27,78784
Bayern Munich,Noël Aséko,20,Defensive Midfield,Hannover 96,€3.45m,in,Summer,3.45,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6236166,,27,42
Bayern Munich,Sacha Boey,25,Right-Back,Galatasaray,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6169968,,27,141
Bayern Munich,Felipe Chávez,19,Central Midfield,1.FC Köln,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6162247,,27,3
Bayern Munich,Bryan Zaragoza,24,Left Winger,AS Roma,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6162197,,27,12
Bayern Munich,Daniel Peretz,25,Goalkeeper,Southampton FC,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6104777,,27,180
Bayern Munich,Jonah Kusi-Asare,18,Centre-Forward,Fulham FC,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5912846,,27,931
Bayern Munich,Tarek Buchmann,21,Centre-Back,1.FC Nuremberg,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5835857,,27,4
Bayern Munich,João Palhinha,30,Defensive Midfield,Tottenham Hotspur,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5832810,,27,148
Bayern Munich,Lovro Zvonarek,21,Attacking Midfield,Grasshopper Club Zurich,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5819050,,27,504
Bayern Munich,Maurice Krattenmacher,20,Left Winger,Hertha BSC,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5739318,,27,44
Bayern Munich,Arijon Ibrahimovic,20,Left Winger,1.FC Heidenheim 1846,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5728073,,27,2036
Bayern Munich,Noël Aséko,20,Defensive Midfield,Hannover 96,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5502460,,27,42
Bayern Munich,Armindo Sieb,23,Second Striker,1.FSV Mainz 05,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5083997,,27,39
Bayern Munich,Alexander Nübel,29,Goalkeeper,VfB Stuttgart,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,4531466,,27,79
Bayern Munich,João Palhinha,31,Defensive Midfield,SL Benfica,€14.00m,out,Summer,14,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6536356,,27,294
Bayern Munich,Noël Aséko,20,Defensive Midfield,Eintracht Frankfurt,€12.00m,out,Summer,12,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6437622,,27,24
Bayern Munich,Daniel Peretz,25,Goalkeeper,Southampton FC,€8.00m,out,Summer,8,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6339354,,27,180
Bayern Munich,Alexander Nübel,29,Goalkeeper,Besiktas JK,€6.25m,out,Summer,6.25,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6412568,,27,114
Bayern Munich,Jonah Kusi-Asare,18,Centre-Forward,Fulham FC,€6.00m,out,Summer,6,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6384502,,27,931
Bayern Munich,Maurice Krattenmacher,20,Left Winger,SV 07 Elversberg,€2.00m,out,Summer,2,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6352199,,27,64
Bayern Munich,Lovro Zvonarek,21,Attacking Midfield,CF Estrela Amadora,€1.50m,out,Summer,1.5,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6431789,,27,2431
Bayern Munich,Noël Aséko,20,Defensive Midfield,Hannover 96,€1.00m,out,Summer,1,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6236165,,27,42
Bayern Munich,Armindo Sieb,23,Second Striker,Los Angeles FC,€500Th.,out,Summer,0.5,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6501741,,27,51828
Bayern Munich,Leon Goretzka,31,Central Midfield,Aston Villa,free transfer,out,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6540092,,27,405
Bayern Munich,Bryan Zaragoza,24,Left Winger,RCD Espanyol Barcelona,loan transfer,out,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6540166,,27,714
Bayern Munich,Felipe Chávez,19,Central Midfield,1.FC Magdeburg,loan transfer,out,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6536260,,27,187
Bayern Munich,Raphaël Guerreiro,32,Left-Back,Without Club,-,out,Summer,NA,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6252361,,27,515
Bayern Munich,Bara Sapoko Ndiaye,18,Central Midfield,Gambinos Stars,End of loan 30/06/2026,out,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6092478,,27,78784
Bayern Munich,Nicolas Jackson,25,Centre-Forward,Chelsea FC,End of loan 30/06/2026,out,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5911929,,27,631
Borussia Dortmund,Konstantinos Karetsas,18,Attacking Midfield,KRC Genk,€30.00m,in,Summer,30,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6481150,,16,1184
Borussia Dortmund,Giannis Konstantelias,23,Attacking Midfield,PAOK Thessaloniki,€26.00m,in,Summer,26,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6511938,,16,1091
Borussia Dortmund,Joey Veerman,27,Central Midfield,PSV Eindhoven,€22.00m,in,Summer,22,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6514643,,16,383
Borussia Dortmund,Joane Gadou,19,Centre-Back,Red Bull Salzburg,€19.50m,in,Summer,19.5,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6307040,,16,409
Borussia Dortmund,Kauã Prates,18,Left-Back,Cruzeiro Esporte Clube,€7.00m,in,Summer,7,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6192868,,16,609
Borussia Dortmund,Justin Lerma,18,Attacking Midfield,Independiente del Valle,€4.00m,in,Summer,4,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5012788,,16,19309
Borussia Dortmund,Julien Duranville,20,Left Winger,FC Basel 1893,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6137606,,16,26
Borussia Dortmund,Cole Campbell,20,Right Winger,TSG 1899 Hoffenheim,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6096339,,16,533
Borussia Dortmund,Diant Ramaj,24,Goalkeeper,1.FC Heidenheim 1846,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5817328,,16,2036
Borussia Dortmund,Kjell Wätjen,20,Central Midfield,VfL Bochum,End of loan 30/06/2026,in,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,5725738,,16,80
Borussia Dortmund,Karim Adeyemi,24,Right Winger,FC Barcelona,€22.00m,out,Summer,22,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6449963,,16,131
Borussia Dortmund,Cole Campbell,20,Right Winger,SV 07 Elversberg,€6.00m,out,Summer,6,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6413741,,16,64
Borussia Dortmund,Julien Duranville,20,Left Winger,Olympique Lyon,€5.00m,out,Summer,5,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6397769,,16,1041
Borussia Dortmund,Yan Couto,24,Right-Back,Como 1907,Loan fee:€3.00m,out,Summer,3,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6489344,,16,1047
Borussia Dortmund,Kjell Wätjen,20,Central Midfield,FC Midtjylland,€2.50m,out,Summer,2.5,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6423147,,16,865
Borussia Dortmund,Niklas Süle,30,Centre-Back,SV Tiefenbach,free transfer,out,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6227731,,16,6285
Borussia Dortmund,Julian Brandt,30,Attacking Midfield,Ajax Amsterdam,free transfer,out,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6219295,,16,610
Borussia Dortmund,Salih Özcan,28,Defensive Midfield,Besiktas JK,free transfer,out,Summer,0,Bundesliga,2026,2026/2027,Germany,transfermarkt.com,6415070,,16,114
