club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,source,source_id,transfer_date,club_source_id,counterpart_source_id
ADO Den Haag,Jonas Jensen-Abbew,24,Centre-Back,Aarhus GF,€400Th.,in,Summer,0.4,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6537701,,1268,678
ADO Den Haag,Niclas Thiede,27,Goalkeeper,VfL Bochum,€100Th.,in,Summer,0.1,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6430421,,1268,80
ADO Den Haag,Lasse Wilhelm,23,Centre-Back,1.FC Saarbrücken,free transfer,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6314641,,1268,1
ADO Den Haag,Jan Zamburek,25,Central Midfield,Heracles Almelo,?,in,Summer,NA,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6427892,,1268,1304
ADO Den Haag,Donát Bárány,25,Centre-Forward,Debreceni VSC,?,in,Summer,NA,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6430868,,1268,84
ADO Den Haag,Yannick Eduardo,20,Centre-Forward,TSG 1899 Hoffenheim,loan transfer,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6444089,,1268,533
ADO Den Haag,Othniël Raterink,20,Right-Back,Cagliari Calcio,loan transfer,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6496839,,1268,1390
ADO Den Haag,Taneli Hämäläinen,25,Centre-Back,Kuopion Palloseura,End of loan 30/06/2026,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,5868103,,1268,6251
ADO Den Haag,Jari Vlak,27,Central Midfield,CD Castellón,€600Th.,out,Summer,0.6,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6412472,,1268,2502
ADO Den Haag,Steven van der Sloot,23,Right-Back,Fortuna Düsseldorf,free transfer,out,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6319248,,1268,38
ADO Den Haag,Taneli Hämäläinen,25,Centre-Back,Kuopion Palloseura,free transfer,out,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6392412,,1268,6251
ADO Den Haag,Antoine Lejoly,28,Goalkeeper,KAS Eupen,free transfer,out,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6434809,,1268,1245
ADO Den Haag,Diogo Tomas,29,Centre-Back,AIK,free transfer,out,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6475496,,1268,272
ADO Den Haag,Devyn Payne,21,Centre-Back,Without Club,-,out,Summer,NA,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6255504,,1268,515
ADO Den Haag,Mees Kreekels,24,Right-Back,Without Club,-,out,Summer,NA,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6381597,,1268,515
ADO Den Haag,Lorenzo Maasland,21,Left Winger,Without Club,-,out,Summer,NA,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6381599,,1268,515
ADO Den Haag,Joey Brandt,21,Central Midfield,Without Club,-,out,Summer,NA,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6381600,,1268,515
ADO Den Haag,Bryan Fiabema,23,Centre-Forward,Lech Poznan,End of loan 30/06/2026,out,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6138870,,1268,238
Ajax Amsterdam,Marcos Leonardo,23,Centre-Forward,Al-Hilal SFC,€19.90m,in,Summer,19.9,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6435617,,610,1114
Ajax Amsterdam,Caio Henrique,28,Left-Back,AS Monaco,€10.50m,in,Summer,10.5,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6389590,,610,162
Ajax Amsterdam,Viktor Tsygankov,28,Right Winger,Girona FC,€4.00m,in,Summer,4,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6539082,,610,12321
Ajax Amsterdam,Julian Brandt,30,Attacking Midfield,Borussia Dortmund,free transfer,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6219295,,610,16
Ajax Amsterdam,Daley Blind,36,Centre-Back,Girona FC,free transfer,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6410918,,610,12321
Ajax Amsterdam,Jofre Torrents,19,Left-Back,FC Barcelona,free transfer,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6513030,,610,131
Ajax Amsterdam,Tolu Arokodare,25,Centre-Forward,Wolverhampton Wanderers,loan transfer,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6467407,,610,543
Ajax Amsterdam,Marc ter Stegen,34,Goalkeeper,FC Barcelona,loan transfer,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6483706,,610,131
Ajax Amsterdam,Amourricho van Axel Dongen,21,Left Winger,SC Heerenveen,End of loan 30/06/2026,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,5782166,,610,306
Ajax Amsterdam,Chuba Akpom,30,Centre-Forward,Ipswich Town,End of loan 30/06/2026,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,5852004,,610,677
Ajax Amsterdam,Sivert Mannsverk,24,Defensive Midfield,AC Sparta Prague,End of loan 30/06/2026,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,5879281,,610,197
Ajax Amsterdam,Ahmetcan Kaplan,23,Centre-Back,NEC Nijmegen,End of loan 30/06/2026,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,5902716,,610,467
Ajax Amsterdam,Branco van den Boomen,30,Central Midfield,Angers SCO,End of loan 30/06/2026,in,Summer,0,Eredivisie,2026,2026/2027,Netherlands,transfermarkt.com,6136058,,610,1420
