club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,source,source_id,transfer_date,club_source_id,counterpart_source_id
FC Porto,Jakub Kiwior,26,Centre-Back,Arsenal FC,€17.00m,in,Summer,17,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6298647,,720,11
FC Porto,In-beom Hwang,29,Defensive Midfield,Feyenoord Rotterdam,€4.50m,in,Summer,4.5,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6442749,,720,234
FC Porto,André Silva,30,Centre-Forward,Elche CF,free transfer,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6352395,,720,1531
FC Porto,Seko Fofana,31,Central Midfield,Stade Rennais FC,loan transfer,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6536878,,720,273
FC Porto,Gabriel Veron,22,Right Winger,Santos FC,End of loan 15/07/2025,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5504090,,720,221
FC Porto,Samuel Portugal,32,Goalkeeper,Al-Okhdood Club,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5791811,,720,71665
FC Porto,Danny Namaso,25,Left Winger,AJ Auxerre,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5870132,,720,290
FC Porto,Iván Jaime,25,Attacking Midfield,CF Montréal,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5887428,,720,4078
FC Porto,Vasco Sousa,23,Central Midfield,Moreirense FC,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5910411,,720,979
FC Porto,Stephen Eustaquio,29,Central Midfield,Los Angeles FC,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6171997,,720,51828
FC Porto,Gabriel Veron,23,Right Winger,CD Nacional,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6116900,,720,982
FC Porto,Rodrigo Mora,19,Attacking Midfield,AS Roma,€25.00m,out,Summer,25,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6517054,,720,12
FC Porto,Danny Namaso,25,Left Winger,AJ Auxerre,€5.00m,out,Summer,5,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6318559,,720,290
FC Porto,Stephen Eustaquio,29,Central Midfield,Swansea City,€4.00m,out,Summer,4,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6539329,,720,2288
FC Porto,Samuel Portugal,32,Goalkeeper,Gil Vicente FC,free transfer,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6495524,,720,2424
FC Porto,Thiago Silva,41,Centre-Back,Fluminense Football Club,free transfer,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6320382,,720,2462
FC Porto,Iván Jaime,25,Attacking Midfield,UD Las Palmas,loan transfer,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6522155,,720,472
FC Porto,Luuk de Jong,35,Centre-Forward,Without Club,-,out,Summer,NA,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6330166,,720,515
FC Porto,Yann Karamoh,27,Left Winger,Without Club,-,out,Summer,NA,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6414918,,720,515
FC Porto,Jakub Kiwior,26,Centre-Back,Arsenal FC,End of loan 30/06/2026,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5911456,,720,11
FC Porto,Seko Fofana,31,Central Midfield,Stade Rennais FC,End of loan 30/06/2026,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6161014,,720,273
FC Porto,Terem Moffi,27,Centre-Forward,OGC Nice,End of loan 30/06/2026,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6153116,,720,417
Sporting CP,Rodrigo Zalazar,26,Attacking Midfield,SC Braga,€30.00m,in,Summer,30,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6312429,,336,1075
Sporting CP,Ibrahima Ba,21,Centre-Back,FC Famalicão,€21.25m,in,Summer,21.25,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6448661,,336,3329
Sporting CP,Issa Doumbia,22,Central Midfield,Venezia FC,€20.53m,in,Summer,20.53,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6334000,,336,607
Sporting CP,Sergi Altimira,24,Defensive Midfield,Real Betis Balompié,€18.25m,in,Summer,18.25,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6391118,,336,150
Sporting CP,Nestory Irankunda,20,Left Winger,Watford FC,€15.00m,in,Summer,15,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6506976,,336,1010
Sporting CP,Silas Andersen,22,Defensive Midfield,BK Häcken,€7.25m,in,Summer,7.25,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6346062,,336,1109
Sporting CP,Pedro Lima,23,Central Midfield,Avs Futebol,€4.00m,in,Summer,4,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6328914,,336,110302
Sporting CP,Moncef Zekri,17,Left-Back,KV Mechelen,€3.00m,in,Summer,3,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6534006,,336,354
Sporting CP,Jesse Derry,19,Left Winger,Chelsea FC U21,loan transfer,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6420409,,336,9250
Sporting CP,Alisson Santos,23,Left Winger,SSC Napoli,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6162546,,336,6195
Sporting CP,Biel,25,Left Winger,Al-Taawoun FC,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6151189,,336,28844
Sporting CP,Diogo Travassos,22,Right-Back,Moreirense FC,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5893683,,336,979
Sporting CP,Alexandre Brito,20,Defensive Midfield,Pafos FC,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5794726,,336,45457
Sporting CP,Sotiris Alexandropoulos,24,Central Midfield,Fortuna Düsseldorf,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5747371,,336,38
Sporting CP,Koba Koindredi,24,Central Midfield,FC Basel 1893,End of loan 30/06/2026,in,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5732609,,336,26
Sporting CP,Geovany Quenda,19,Right Winger,Chelsea FC,€50.00m,out,Summer,50,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5577631,,336,631
Sporting CP,Morten Hjulmand,27,Defensive Midfield,Atlético de Madrid,€40.00m,out,Summer,40,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6419261,,336,13
Sporting CP,Ousmane Diomande,22,Centre-Back,Nottingham Forest,€40.00m,out,Summer,40,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6495053,,336,703
Sporting CP,Francisco Trincão,26,Right Winger,Al-Ahli SFC,€39.35m,out,Summer,39.35,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6437777,,336,18487
Sporting CP,Alisson Santos,23,Left Winger,SSC Napoli,€16.50m,out,Summer,16.5,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6339595,,336,6195
Sporting CP,Diogo Travassos,22,Right-Back,SC Braga,€5.50m,out,Summer,5.5,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6324195,,336,1075
Sporting CP,Giorgi Kochorashvili,27,Central Midfield,Sevilla FC,€4.50m,out,Summer,4.5,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6523941,,336,368
Sporting CP,João Virgínia,26,Goalkeeper,Wolverhampton Wanderers,€1.50m,out,Summer,1.5,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6539089,,336,543
Sporting CP,Alexandre Brito,20,Defensive Midfield,Pafos FC,free transfer,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6392945,,336,45457
Sporting CP,Hidemasa Morita,31,Central Midfield,Hull City,free transfer,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6454607,,336,3008
Sporting CP,Biel,25,Left Winger,Pafos FC,loan transfer,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6396398,,336,45457
Sporting CP,Ricardo Mangas,28,Left-Back,AC Monza,loan transfer,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6453483,,336,2919
Sporting CP,Souleymane Faye,23,Right Winger,FC Lorient,loan transfer,out,Summer,0,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6479882,,336,1158
SL Benfica,Georgiy Sudakov,23,Attacking Midfield,Shakhtar Donetsk,€20.25m,in,Summer,20.25,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,5904948,,294,660
SL Benfica,Alessandro Circati,22,Centre-Back,Parma Calcio 1913,€18.00m,in,Summer,18,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6518927,,294,130
SL Benfica,Jakub Kamiński,24,Left Winger,1.FC Köln,€17.00m,in,Summer,17,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6409874,,294,3
SL Benfica,João Palhinha,31,Defensive Midfield,Bayern Munich,€14.00m,in,Summer,14,Liga Portugal,2026,2026/2027,Portugal,transfermarkt.com,6536356,,294,27
