club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,source,source_id,transfer_date,club_source_id,counterpart_source_id
Paris Saint-Germain,Maghnes Akliouche,24,Right Winger,AS Monaco,€50.00m,in,Summer,50,Ligue 1,2026,2026/2027,France,transfermarkt.com,6489375,,583,162
Paris Saint-Germain,Ferran Torres,26,Centre-Forward,FC Barcelona,€48.50m,in,Summer,48.5,Ligue 1,2026,2026/2027,France,transfermarkt.com,6506285,,583,131
Paris Saint-Germain,Mika Godts,21,Left Winger,Ajax Amsterdam,€45.00m,in,Summer,45,Ligue 1,2026,2026/2027,France,transfermarkt.com,6507736,,583,610
Paris Saint-Germain,Lucas Digne,33,Left-Back,Aston Villa,€7.00m,in,Summer,7,Ligue 1,2026,2026/2027,France,transfermarkt.com,6491085,,583,405
Paris Saint-Germain,Khalil Ayari,21,Right Winger,Stade Tunisien,€1.50m,in,Summer,1.5,Ligue 1,2026,2026/2027,France,transfermarkt.com,6165635,,583,4812
Paris Saint-Germain,Alessandro Longoni,18,Goalkeeper,Milan Futuro,free transfer,in,Summer,0,Ligue 1,2026,2026/2027,France,transfermarkt.com,6406557,,583,41107
Paris Saint-Germain,Noham Kamara,19,Centre-Back,Olympique Lyon,End of loan 30/06/2026,in,Summer,0,Ligue 1,2026,2026/2027,France,transfermarkt.com,6163371,,583,1041
Paris Saint-Germain,Yoram Zague,20,Right-Back,KAS Eupen,End of loan 30/06/2026,in,Summer,0,Ligue 1,2026,2026/2027,France,transfermarkt.com,6155547,,583,1245
Paris Saint-Germain,Randal Kolo Muani,27,Centre-Forward,Tottenham Hotspur,End of loan 30/06/2026,in,Summer,0,Ligue 1,2026,2026/2027,France,transfermarkt.com,5911450,,583,148
Paris Saint-Germain,Renato Sanches,28,Central Midfield,Panathinaikos,End of loan 30/06/2026,in,Summer,0,Ligue 1,2026,2026/2027,France,transfermarkt.com,5890285,,583,265
Paris Saint-Germain,Gabriel Moscardo,20,Defensive Midfield,SC Braga,End of loan 30/06/2026,in,Summer,0,Ligue 1,2026,2026/2027,France,transfermarkt.com,5793631,,583,1075
Paris Saint-Germain,Gonçalo Ramos,25,Centre-Forward,AC Milan,€74.00m,out,Summer,74,Ligue 1,2026,2026/2027,France,transfermarkt.com,6390317,,583,5
Paris Saint-Germain,Randal Kolo Muani,27,Centre-Forward,Juventus FC,€41.20m,out,Summer,41.2,Ligue 1,2026,2026/2027,France,transfermarkt.com,6478919,,583,506
Paris Saint-Germain,Kang-in Lee,25,Attacking Midfield,Atlético de Madrid,€35.00m,out,Summer,35,Ligue 1,2026,2026/2027,France,transfermarkt.com,6456004,,583,13
