club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,source,source_id,transfer_date,club_source_id,counterpart_source_id
Zenit St. Petersburg,Felipe Augusto,22,Centre-Forward,Trabzonspor,€15.00m,in,Summer,15,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6388408,,964,449
Zenit St. Petersburg,Artem Karpukas,24,Defensive Midfield,Lokomotiv Moscow,€5.20m,in,Summer,5.2,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6524598,,964,932
Zenit St. Petersburg,Kevin Andrade,27,Centre-Back,Baltika Kaliningrad,€3.50m,in,Summer,3.5,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6322774,,964,2741
Zenit St. Petersburg,Daniil Odoevskiy,23,Goalkeeper,FC Rostov,End of loan 30/06/2026,in,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,5131521,,964,1083
Zenit St. Petersburg,Strahinja Erakovic,25,Centre-Back,Red Star Belgrade,End of loan 31/08/2026,in,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6167620,,964,159
Zenit St. Petersburg,Du Queiroz,26,Central Midfield,FC Orenburg,End of loan 30/06/2026,in,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,5874337,,964,14589
Zenit St. Petersburg,Ilzat Akhmetov,28,Attacking Midfield,Krylya Sovetov Samara,End of loan 30/06/2026,in,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,5840146,,964,2696
Zenit St. Petersburg,Sergey Volkov,23,Right-Back,FC Sochi,End of loan 30/06/2026,in,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,5801660,,964,41231
Zenit St. Petersburg,Dmitriy Vasiljev,22,Defensive Midfield,FC Sochi,End of loan 30/06/2026,in,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,5763287,,964,41231
Zenit St. Petersburg,Evgeniy Latyshonok,28,Goalkeeper,FC Nizhniy Novgorod,€1.10m,out,Summer,1.1,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6466779,,964,49702
Zenit St. Petersburg,Dmitriy Vasiljev,22,Defensive Midfield,FC Orenburg,€660Th.,out,Summer,0.66,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6481320,,964,14589
Zenit St. Petersburg,Vanja Drkusic,26,Centre-Back,RCD Espanyol Barcelona,Loan fee:€300Th.,out,Summer,0.3,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6505321,,964,714
Zenit St. Petersburg,Yuriy Gorshkov,27,Left-Back,Krylya Sovetov Samara,free transfer,out,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6506253,,964,2696
Zenit St. Petersburg,Yaroslav Mikhailov,23,Central Midfield,FC Rostov,free transfer,out,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6426347,,964,1083
Zenit St. Petersburg,Arsen Adamov,26,Right-Back,Akhmat Grozny,free transfer,out,Summer,0,Premier Liga,2026,2026/2027,Russia,transfermarkt.com,6324703,,964,3725
