club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,source,source_id,transfer_date,club_source_id,counterpart_source_id
Abha Club,Alimami Gory,29,Left Winger,Paris FC,€2.00m,in,Summer,2,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6485974,,40039,10004
Abha Club,Basil Al-Sayyali,25,Central Midfield,Al-Shabab FC,Loan fee:€275Th.,in,Summer,0.275,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6499046,,40039,9840
Abha Club,Nawaf Al-Ghulaimish,21,Right-Back,NEOM SC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6521491,,40039,34911
Abha Club,Abdulbasit Hindi,29,Centre-Back,Al-Ettifaq FC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6499917,,40039,7732
Abha Club,Loreintz Rosier,27,Defensive Midfield,Al-Hazem SC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6466149,,40039,9131
Abha Club,Majed Dawran,22,Central Midfield,Al-Ettifaq FC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6460931,,40039,7732
Abha Club,Feras Al-Ghamdi,26,Central Midfield,Al-Ahli SFC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6446042,,40039,18487
Abha Club,Donovan Léon,33,Goalkeeper,AJ Auxerre,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6445449,,40039,290
Abha Club,Safwan Al-Johani,23,Left-Back,Al-Tai FC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6438706,,40039,40079
Abha Club,Nasser Al-Daajani,29,Central Midfield,Al-Ula FC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6433903,,40039,107818
Abha Club,Mustafa Malayekah,40,Goalkeeper,NEOM SC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6335245,,40039,34911
Abha Club,Nabil Fekir,33,Attacking Midfield,Al-Jazira Club,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6385037,,40039,2524
Abha Club,Abdou Diallo,30,Centre-Back,Al-Arabi SC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6393369,,40039,1230
Abha Club,Mohammed Al-Dawsari,27,Right-Back,Al-Raed SFC,free transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6394498,,40039,22381
Abha Club,Michy Batshuayi,32,Centre-Forward,Eintracht Frankfurt,?,in,Summer,NA,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6512075,,40039,24
Abha Club,Mohammed Al-Zaid,22,Right Winger,Al-Hilal SFC U21,?,in,Summer,NA,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6493042,,40039,132482
Abha Club,Khaled Al-Shamrani,26,Left-Back,Al-Ula FC,loan transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6521565,,40039,107818
Abha Club,Abdulkarim Darisi,23,Left Winger,Al-Hilal SFC,loan transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6445677,,40039,1114
Abha Club,Faisal Al-Subiani,23,Defensive Midfield,Al-Shabab FC,loan transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6464757,,40039,9840
Abha Club,Keshim Al-Qahtani,26,Centre-Forward,Al-Taawoun FC,loan transfer,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6493039,,40039,28844
Abha Club,Dawood Al-Tarif,26,Right-Back,Al-Saqer FC,End of loan 30/06/2026,in,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6121455,,40039,95443
Abha Club,Abdullah Al-Jadani,35,Goalkeeper,Al-Taawoun FC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6436425,,40039,28844
Abha Club,Hamed Al-Mousa,26,Right-Back,Al-Saqer FC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6522325,,40039,95443
Abha Club,Hamoud Al-Shammari,26,Centre-Forward,Al-Raed SFC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6510276,,40039,22381
Abha Club,Hassan Al-Salis,26,Centre-Forward,Al-Adalah FC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6499116,,40039,55544
Abha Club,Dawood Al-Tarif,26,Right-Back,Al-Saqer FC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6405049,,40039,95443
Abha Club,Motaz Akjah,28,Goalkeeper,Al-Bukiryah FC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6405045,,40039,68748
Abha Club,Meshal Al-Mutairi,27,Left Winger,Al-Ahli SFC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6382822,,40039,18487
Abha Club,Afonso Taira,34,Defensive Midfield,Al-Najma SC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6404841,,40039,32328
Abha Club,Muralha,33,Attacking Midfield,Al-Wehda FC,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6404941,,40039,17209
Abha Club,Agi Dambelley,32,Right Winger,Al-Okhdood Club,free transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6405047,,40039,71665
Abha Club,Sylla Sow,30,Centre-Forward,Al-Ula FC,?,out,Summer,NA,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6513701,,40039,107818
Abha Club,Yasser Yaqoub,26,Right-Back,Al-Ula FC,loan transfer,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6436424,,40039,107818
Abha Club,Keshim Al-Qahtani,27,Centre-Forward,Al-Taawoun FC,End of loan 30/06/2027,out,Summer,0,Saudi Pro League,2026,2026/2027,Saudi Arabia,transfermarkt.com,6493040,,40039,28844
