club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,source,source_id,transfer_date,club_source_id,counterpart_source_id
Inter Milan,Curtis Jones,25,Central Midfield,Liverpool FC,€30.00m,in,Summer,30,Serie A,2026,2026/2027,Italy,transfermarkt.com,6524834,,46,31
Inter Milan,Djed Spence,26,Right-Back,Tottenham Hotspur,€30.00m,in,Summer,30,Serie A,2026,2026/2027,Italy,transfermarkt.com,6507250,,46,148
Inter Milan,Aleksandar Stanković,20,Defensive Midfield,Club Brugge KV,€23.00m,in,Summer,23,Serie A,2026,2026/2027,Italy,transfermarkt.com,6387073,,46,2282
Inter Milan,Manuel Akanji,30,Centre-Back,Manchester City,€15.00m,in,Summer,15,Serie A,2026,2026/2027,Italy,transfermarkt.com,6296046,,46,281
Inter Milan,Ivan Provedel,32,Goalkeeper,SS Lazio,€3.00m,in,Summer,3,Serie A,2026,2026/2027,Italy,transfermarkt.com,6412784,,46,398
Inter Milan,John Stones,32,Centre-Back,Manchester City,free transfer,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6471300,,46,281
Inter Milan,Franco Carboni,23,Left-Back,Parma Calcio 1913,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6150797,,46,130
Inter Milan,Benjamin Pavard,30,Centre-Back,Olympique Marseille,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5912119,,46,244
Inter Milan,Davide Frattesi,27,Central Midfield,SS Lazio,End of loan 30/06/2027,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6505676,,46,398
Inter Milan,Sebastiano Esposito,23,Second Striker,Cagliari Calcio,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5857881,,46,1390
Inter Milan,Ebenezer Akinsanmiro,21,Central Midfield,Pisa Sporting Club,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6375286,,46,4172
Inter Milan,Yanis Massolin,23,Attacking Midfield,Modena FC,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6162757,,46,1385
Inter Milan,Kristjan Asllani,24,Defensive Midfield,Besiktas JK,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6153075,,46,114
Inter Milan,Denzel Dumfries,30,Right-Back,Real Madrid,€20.00m,out,Summer,20,Serie A,2026,2026/2027,Italy,transfermarkt.com,6403434,,46,418
Inter Milan,Davide Frattesi,26,Central Midfield,SS Lazio,Loan fee:€5.00m,out,Summer,5,Serie A,2026,2026/2027,Italy,transfermarkt.com,6505675,,46,398
Inter Milan,Sebastiano Esposito,23,Second Striker,Cagliari Calcio,€4.00m,out,Summer,4,Serie A,2026,2026/2027,Italy,transfermarkt.com,6213271,,46,1390
Inter Milan,Franco Carboni,23,Left-Back,Parma Calcio 1913,€2.50m,out,Summer,2.5,Serie A,2026,2026/2027,Italy,transfermarkt.com,6398203,,46,130
Inter Milan,Stefan de Vrij,34,Centre-Back,Panathinaikos,free transfer,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6391197,,46,265
Inter Milan,Yann Sommer,37,Goalkeeper,Club Brugge KV,free transfer,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6426020,,46,2282
Inter Milan,Ebenezer Akinsanmiro,21,Central Midfield,AC Monza,loan transfer,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6475775,,46,2919
Inter Milan,Matteo Darmian,36,Right-Back,Without Club,-,out,Summer,NA,Serie A,2026,2026/2027,Italy,transfermarkt.com,6340747,,46,515
Inter Milan,Francesco Acerbi,38,Centre-Back,Without Club,-,out,Summer,NA,Serie A,2026,2026/2027,Italy,transfermarkt.com,6340754,,46,515
Inter Milan,Manuel Akanji,30,Centre-Back,Manchester City,End of loan 30/06/2026,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5910950,,46,281
SSC Napoli,Rasmus Højlund,23,Centre-Forward,Manchester United,€44.00m,in,Summer,44,Serie A,2026,2026/2027,Italy,transfermarkt.com,6315502,,6195,985
SSC Napoli,Alisson Santos,23,Left Winger,Sporting CP,€16.50m,in,Summer,16.5,Serie A,2026,2026/2027,Italy,transfermarkt.com,6339595,,6195,336
SSC Napoli,Vanja Milinković-Savić,29,Goalkeeper,Torino FC,€6.00m,in,Summer,6,Serie A,2026,2026/2027,Italy,transfermarkt.com,6175740,,6195,416
SSC Napoli,Benoît Badiashile,25,Centre-Back,Chelsea FC,Loan fee:€3.00m,in,Summer,3,Serie A,2026,2026/2027,Italy,transfermarkt.com,6526485,,6195,631
SSC Napoli,Costantino Favasuli,22,Right Midfield,US Catanzaro,Loan fee:€1.00m,in,Summer,1,Serie A,2026,2026/2027,Italy,transfermarkt.com,6517172,,6195,4097
SSC Napoli,Mattia Esposito,18,Second Striker,Sorrento 1945,€700Th.,in,Summer,0.7,Serie A,2026,2026/2027,Italy,transfermarkt.com,6481411,,6195,10118
SSC Napoli,Lorenzo Sgarbi,25,Second Striker,US Avellino 1912,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6162336,,6195,2331
SSC Napoli,Emanuele Rao,20,Left Winger,SSC Bari,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5787145,,6195,332
SSC Napoli,Lorenzo Russo,21,Defensive Midfield,Guidonia Montecelio 1937 FC,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5788869,,6195,45894
SSC Napoli,Gennaro Iaccarino,22,Central Midfield,SS Arezzo,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5804480,,6195,4255
SSC Napoli,Jesper Lindstrøm,26,Right Winger,VfL Wolfsburg,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5805472,,6195,82
SSC Napoli,Michael Folorunsho,28,Central Midfield,Cagliari Calcio,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5807612,,6195,1390
SSC Napoli,Alessio Zerbin,27,Right Midfield,US Cremonese,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5819458,,6195,2239
SSC Napoli,Claudio Turi,21,Goalkeeper,Altamura S.S.,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5826221,,6195,22408
SSC Napoli,Jens Cajuste,26,Defensive Midfield,Ipswich Town,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5843921,,6195,677
SSC Napoli,Giovanni Simeone,30,Centre-Forward,Torino FC,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5843940,,6195,416
SSC Napoli,Nosa Edward Obaretin,23,Centre-Back,FC Empoli,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5871529,,6195,749
SSC Napoli,Rafa Marín,24,Centre-Back,Villarreal CF,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5747475,,6195,1050
SSC Napoli,Alessandro Zanoli,25,Right-Back,Udinese Calcio,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5910385,,6195,410
SSC Napoli,Luis Hasa,22,Central Midfield,Carrarese Calcio 1908,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5910476,,6195,4159
SSC Napoli,Walid Cheddira,28,Centre-Forward,US Lecce,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6137774,,6195,1005
SSC Napoli,Lorenzo Lucca,25,Centre-Forward,Nottingham Forest,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6139612,,6195,703
SSC Napoli,Noa Lang,27,Left Winger,Galatasaray,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6139616,,6195,141
SSC Napoli,Antonio Cioffi,23,Left Winger,Latina Calcio 1932,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6140841,,6195,22045
SSC Napoli,Coli Saco,24,Central Midfield,Casertana FC,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6144745,,6195,4106
SSC Napoli,Cyril Ngonge,26,Right Winger,RCD Espanyol Barcelona,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6154290,,6195,714
SSC Napoli,Luca Marianucci,21,Centre-Back,Torino FC,End of loan 30/06/2026,in,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6154734,,6195,416
SSC Napoli,Miguel Gutiérrez,25,Left-Back,Bayer 04 Leverkusen,€26.00m,out,Summer,26,Serie A,2026,2026/2027,Italy,transfermarkt.com,6486778,,6195,15
SSC Napoli,Giovanni Simeone,30,Centre-Forward,Torino FC,€7.20m,out,Summer,7.2,Serie A,2026,2026/2027,Italy,transfermarkt.com,6175353,,6195,416
SSC Napoli,Romelu Lukaku,33,Centre-Forward,Fenerbahce,€6.00m,out,Summer,6,Serie A,2026,2026/2027,Italy,transfermarkt.com,6498703,,6195,36
SSC Napoli,Alessandro Zanoli,25,Right-Back,Udinese Calcio,€5.00m,out,Summer,5,Serie A,2026,2026/2027,Italy,transfermarkt.com,6362239,,6195,410
SSC Napoli,Luis Hasa,22,Central Midfield,Frosinone Calcio,€2.50m,out,Summer,2.5,Serie A,2026,2026/2027,Italy,transfermarkt.com,6454584,,6195,8970
SSC Napoli,Alessio Zerbin,27,Right Midfield,Frosinone Calcio,€2.00m,out,Summer,2,Serie A,2026,2026/2027,Italy,transfermarkt.com,6454582,,6195,8970
SSC Napoli,Emanuele Rao,20,Left Winger,Pisa Sporting Club,Loan fee:€1.00m,out,Summer,1,Serie A,2026,2026/2027,Italy,transfermarkt.com,6472894,,6195,4172
SSC Napoli,Nosa Edward Obaretin,23,Centre-Back,FC Lorient,Loan fee:€350Th.,out,Summer,0.35,Serie A,2026,2026/2027,Italy,transfermarkt.com,6533022,,6195,1158
SSC Napoli,Coli Saco,24,Central Midfield,Riga FC,?,out,Summer,NA,Serie A,2026,2026/2027,Italy,transfermarkt.com,6471339,,6195,48325
SSC Napoli,Gennaro Iaccarino,23,Central Midfield,SS Arezzo,?,out,Summer,NA,Serie A,2026,2026/2027,Italy,transfermarkt.com,6497666,,6195,4255
SSC Napoli,Antonio Cioffi,23,Left Winger,Latina Calcio 1932,?,out,Summer,NA,Serie A,2026,2026/2027,Italy,transfermarkt.com,6506577,,6195,22045
SSC Napoli,Claudio Turi,21,Goalkeeper,Pineto Calcio,loan transfer,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6435118,,6195,46337
SSC Napoli,Mathias Ferrante,19,Goalkeeper,CPR Ospitaletto,loan transfer,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6432371,,6195,5542
SSC Napoli,Mattia Esposito,18,Second Striker,SSC Bari,loan transfer,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6485159,,6195,332
SSC Napoli,Lorenzo Sgarbi,25,Second Striker,US Sambenedettese,loan transfer,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6491754,,6195,4330
SSC Napoli,Juan Jesus,35,Centre-Back,Without Club,-,out,Summer,NA,Serie A,2026,2026/2027,Italy,transfermarkt.com,6337175,,6195,515
SSC Napoli,Alisson Santos,23,Left Winger,Sporting CP,End of loan 30/06/2026,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,6162546,,6195,336
SSC Napoli,Eljif Elmas,26,Attacking Midfield,RB Leipzig,End of loan 30/06/2026,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5909893,,6195,23826
SSC Napoli,Vanja Milinković-Savić,29,Goalkeeper,Torino FC,End of loan 30/06/2026,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5813793,,6195,416
SSC Napoli,Rasmus Højlund,23,Centre-Forward,Manchester United,End of loan 30/06/2026,out,Summer,0,Serie A,2026,2026/2027,Italy,transfermarkt.com,5910715,,6195,985
AS Roma,Santiago Castro,21,Centre-Forward,Bologna FC 1909,€36.00m,in,Summer,36,Serie A,2026,2026/2027,Italy,transfermarkt.com,6469978,,12,1025
